feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
fatigue,daily_load_sum_3d,16992,-0.0503944987163453,-0.05612011141973977,0.05612011141973977
daily_load_sum_3d,fatigue,16992,-0.0503944987163453,-0.05612011141973977,0.05612011141973977
fatigue,daily_load_sum_7d,16992,-0.041747137872812125,-0.04430307767401763,0.04430307767401763
daily_load_sum_7d,fatigue,16992,-0.041747137872812125,-0.04430307767401763,0.04430307767401763
fatigue,daily_load_sum_14d,16992,-0.03204714148794946,-0.03565335615718949,0.03565335615718949
daily_load_sum_14d,fatigue,16992,-0.03204714148794946,-0.03565335615718949,0.03565335615718949
fatigue,daily_load_sum_28d,16992,-0.030968413887100896,-0.031028966808819936,0.031028966808819936
daily_load_sum_28d,fatigue,16992,-0.030968413887100896,-0.031028966808819936,0.031028966808819936
fatigue,session_duration_sum_3d,16992,0.018319804510547644,0.01054857898367035,0.01054857898367035
session_duration_sum_3d,fatigue,16992,0.018319804510547644,0.01054857898367035,0.01054857898367035
fatigue,session_duration_sum_7d,16992,0.03019446927237686,0.02848233213754901,0.02848233213754901
session_duration_sum_7d,fatigue,16992,0.03019446927237686,0.02848233213754901,0.02848233213754901
fatigue,session_duration_sum_14d,16992,0.03670843476889953,0.0353392202182655,0.0353392202182655
session_duration_sum_14d,fatigue,16992,0.03670843476889953,0.0353392202182655,0.0353392202182655
fatigue,session_duration_sum_28d,16992,0.034487633541853156,0.03879176824458437,0.03879176824458437
session_duration_sum_28d,fatigue,16992,0.034487633541853156,0.03879176824458437,0.03879176824458437
fatigue,session_srpe_sum_3d,16992,-0.03934149304582493,-0.04829297319622852,0.04829297319622852
session_srpe_sum_3d,fatigue,16992,-0.03934149304582493,-0.04829297319622852,0.04829297319622852
fatigue,session_srpe_sum_7d,16992,-0.0272737913477825,-0.03347478274854602,0.03347478274854602
session_srpe_sum_7d,fatigue,16992,-0.0272737913477825,-0.03347478274854602,0.03347478274854602
fatigue,session_srpe_sum_14d,16992,-0.01690590907406978,-0.025815860090754775,0.025815860090754775
session_srpe_sum_14d,fatigue,16992,-0.01690590907406978,-0.025815860090754775,0.025815860090754775
fatigue,session_srpe_sum_28d,16992,-0.016524377106020775,-0.022371543014934627,0.022371543014934627
session_srpe_sum_28d,fatigue,16992,-0.016524377106020775,-0.022371543014934627,0.022371543014934627
fatigue,fatigue_mean_3d,16992,0.7971140982171153,0.7745800687080368,0.7745800687080368
fatigue_mean_3d,fatigue,16992,0.7971140982171153,0.7745800687080368,0.7745800687080368
fatigue,fatigue_mean_7d,16992,0.692193155744727,0.665658297980277,0.665658297980277
fatigue_mean_7d,fatigue,16992,0.692193155744727,0.665658297980277,0.665658297980277
fatigue,fatigue_mean_14d,16992,0.6422971007966859,0.6173936743643146,0.6173936743643146
fatigue_mean_14d,fatigue,16992,0.6422971007966859,0.6173936743643146,0.6173936743643146
fatigue,fatigue_mean_28d,16992,0.609055199063363,0.5878885470418536,0.5878885470418536
fatigue_mean_28d,fatigue,16992,0.609055199063363,0.5878885470418536,0.5878885470418536
fatigue,readiness_mean_3d,16991,0.3813076468629018,0.3793011819872621,0.3793011819872621
readiness_mean_3d,fatigue,16991,0.3813076468629018,0.3793011819872621,0.3793011819872621
fatigue,readiness_mean_7d,16991,0.3340618889627588,0.33205020377198874,0.33205020377198874
readiness_mean_7d,fatigue,16991,0.3340618889627588,0.33205020377198874,0.33205020377198874
fatigue,readiness_mean_14d,16991,0.3165091911183203,0.3101854368913907,0.3101854368913907
readiness_mean_14d,fatigue,16991,0.3165091911183203,0.3101854368913907,0.3101854368913907
fatigue,readiness_mean_28d,16991,0.3076030449746756,0.2964217239528247,0.2964217239528247
readiness_mean_28d,fatigue,16991,0.3076030449746756,0.2964217239528247,0.2964217239528247
fatigue,daily_load_baseline_mean_prior,16992,-0.19504621379562698,-0.22403283740734306,0.22403283740734306
daily_load_baseline_mean_prior,fatigue,16992,-0.19504621379562698,-0.22403283740734306,0.22403283740734306
fatigue,daily_load_zscore_prior,16938,0.09241845141708355,0.14422675198056642,0.14422675198056642
daily_load_zscore_prior,fatigue,16938,0.09241845141708355,0.14422675198056642,0.14422675198056642
fatigue,fatigue_baseline_mean_prior,16942,0.5149292525332323,0.5122686329575012,0.5122686329575012
fatigue_baseline_mean_prior,fatigue,16942,0.5149292525332323,0.5122686329575012,0.5122686329575012
fatigue,fatigue_zscore_prior,16806,0.7711395945779456,0.7649767783988899,0.7649767783988899
fatigue_zscore_prior,fatigue,16806,0.7711395945779456,0.7649767783988899,0.7649767783988899
fatigue,readiness_baseline_mean_prior,16941,0.2871945412450165,0.2712692085303167,0.2712692085303167
readiness_baseline_mean_prior,fatigue,16941,0.2871945412450165,0.2712692085303167,0.2712692085303167
