arm,player_id,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,average_precision,roc_auc,metric_support
D,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,287,509,21,0.04041628565016452,0.03718811640379999,0.4734582357533177,estimable
D,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,308,512,0,0.0002170566694343088,,,zero_positive_support
D,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,294,509,14,0.026930392941007446,0.08159300500418824,0.8062049062049061,estimable
D,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,272,458,36,0.07566774848132381,0.5450056832183495,0.7532253817798841,estimable
D,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,308,512,0,0.00006250221657073914,,,zero_positive_support
D,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,308,512,0,0.0000738121968580027,,,zero_positive_support
D,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,294,509,14,0.028986128156085384,0.03037238218113676,0.43953823953823956,estimable
D,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,308,512,0,0.00007738584615823197,,,zero_positive_support
D,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,308,512,0,0.00006992452278915614,,,zero_positive_support
D,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,301,511,7,0.013461382314641912,0.029948657524026083,0.7570861678004535,estimable
D,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,308,512,0,0.000055875163107407276,,,zero_positive_support
D,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,308,512,0,0.00006660481155414186,,,zero_positive_support
D,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,301,511,7,0.013651105776599453,0.014314928425357873,0.17757936507936506,estimable
D,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,301,511,7,0.013878378145824773,0.0136986301369863,0.04365079365079366,estimable
D,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,286,501,22,0.04256538962593197,0.0846698896469989,0.5346840007591573,estimable
D,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,284,502,24,0.04628282322916525,0.1528918347853981,0.7129532775453278,estimable
D,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,308,512,0,0.00006759783917274816,,,zero_positive_support
D,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,308,512,0,0.00015939439173897905,,,zero_positive_support
D,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,308,512,0,0.00012234881243329952,,,zero_positive_support
D,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,308,512,0,0.0001774592873102518,,,zero_positive_support
D,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,308,512,0,0.00024349816711151452,,,zero_positive_support
D,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,308,512,0,0.00006759783917274828,,,zero_positive_support
D,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,308,512,0,0.00015018922088004858,,,zero_positive_support
D,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,308,512,0,0.00011605551387655716,,,zero_positive_support
D,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,302,508,6,0.011925551040845488,0.0070767448351278465,0.039176626826029216,estimable
D,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,308,512,0,0.00006374623496547323,,,zero_positive_support
D,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,308,512,0,0.0000771085426376032,,,zero_positive_support
D,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,308,512,0,0.00007933812892687328,,,zero_positive_support
D,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,308,512,0,0.00006759783917274828,,,zero_positive_support
D,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,308,512,0,0.00014160895087890683,,,zero_positive_support
D,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,308,512,0,0.00006759783917274828,,,zero_positive_support
D,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,308,512,0,0.00011798439913751517,,,zero_positive_support
D,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,308,512,0,0.00004834054352533141,,,zero_positive_support
D,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,308,512,0,0.00022549388459581235,,,zero_positive_support
D,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,308,512,0,0.000058598768860846684,,,zero_positive_support
D,TeamB-9c845827-99f9-47f4-977d-2200a107a013,308,512,0,0.00007374664010227507,,,zero_positive_support
D,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,308,512,0,0.00029572816102850817,,,zero_positive_support
D,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,308,512,0,0.000627757443725955,,,zero_positive_support
D,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,308,512,0,0.00019911537135812278,,,zero_positive_support
D,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,308,512,0,0.00021613561113854846,,,zero_positive_support
D,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,308,512,0,0.00018601080895336438,,,zero_positive_support
D,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,308,512,0,0.00007779291894558312,,,zero_positive_support
D,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,308,512,0,0.0011106641133723635,,,zero_positive_support
D,TeamB-f67673c0-d467-4832-9519-55133a2647e5,308,512,0,0.00006973286586856011,,,zero_positive_support
