sensitivity_scope,feature,window_days,matched_event_count,player_count,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
exclude_top_five_players,session_recorded,14,13,8,-0.22767857142857142,-0.4718005952380952,-0.0431547619047619
exclude_top_player,session_recorded,14,44,12,-0.15088813303099016,-0.3420552248677248,0.002721088435374035
isolated_onsets,session_recorded,14,15,10,-0.09642857142857142,-0.3399107142857143,0.11979166666666655
all_matched_events,session_recorded,28,68,13,-0.17622209140066283,-0.37557615995115995,-0.019227226146869097
exclude_top_five_players,session_recorded,28,13,8,-0.23363095238095236,-0.4755580357142857,-0.016294642857142914
exclude_top_player,session_recorded,28,44,12,-0.18631897203325776,-0.38270207388510963,-0.003211805555555617
isolated_onsets,session_recorded,28,15,10,-0.1238095238095238,-0.3708630952380952,0.07744047619047614
all_matched_events,wellness_metric_count,3,68,13,-0.6381766381766383,-2.299074074074074,0.643180199430199
exclude_top_five_players,wellness_metric_count,3,13,8,-0.8194444444444445,-3.140277777777778,1.133680555555554
exclude_top_player,wellness_metric_count,3,44,12,-0.6427469135802469,-2.225270061728395,0.7665123456790114
isolated_onsets,wellness_metric_count,3,15,10,-0.888888888888889,-2.906388888888889,0.9333333333333332
all_matched_events,wellness_metric_count,7,68,13,-0.8783795569509855,-2.457371794871795,0.3161324786324784
exclude_top_five_players,wellness_metric_count,7,13,8,-1.2470238095238095,-3.434077380952381,0.44799107142857136
exclude_top_player,wellness_metric_count,7,44,12,-0.909911186696901,-2.5097800925925924,0.3929669784580498
isolated_onsets,wellness_metric_count,7,15,10,-1.1690476190476191,-2.868333333333333,0.19071428571428548
all_matched_events,wellness_metric_count,14,68,13,-0.7513082155939299,-2.4107976844583985,0.5171899529042383
exclude_top_five_players,wellness_metric_count,14,13,8,-1.0505952380952381,-3.4395089285714286,0.9213541666666665
exclude_top_player,wellness_metric_count,14,44,12,-0.7786989795918368,-2.429203869047619,0.624236465419501
isolated_onsets,wellness_metric_count,14,15,10,-0.9095238095238096,-2.805416666666667,0.65
all_matched_events,wellness_metric_count,28,68,13,-1.1672063055991628,-2.7477764423076922,-0.001250572344322358
exclude_top_five_players,wellness_metric_count,28,13,8,-1.521577380952381,-3.7724888392857143,0.3876302083333317
exclude_top_player,wellness_metric_count,28,44,12,-1.212266156462585,-2.8200520833333336,0.1632936507936503
isolated_onsets,wellness_metric_count,28,15,10,-1.193452380952381,-3.0520982142857145,0.2658333333333331
all_matched_events,wellness_report_present,3,68,13,-0.08750508750508751,-0.3368767806267806,0.10040445665445652
exclude_top_five_players,wellness_report_present,3,13,8,-0.1111111111111111,-0.45173611111111106,0.17395833333333302
exclude_top_player,wellness_report_present,3,44,12,-0.08785273368606701,-0.3244020061728395,0.12037037037037038
isolated_onsets,wellness_report_present,3,15,10,-0.12222222222222222,-0.4222222222222222,0.13333333333333336
all_matched_events,wellness_report_present,7,68,13,-0.12380080237223093,-0.3531135531135531,0.049755799755799766
exclude_top_five_players,wellness_report_present,7,13,8,-0.17559523809523808,-0.49747023809523805,0.0700148809523809
exclude_top_player,wellness_report_present,7,44,12,-0.12816515495086922,-0.3636550453514739,0.06249173280423279
isolated_onsets,wellness_report_present,7,15,10,-0.16428571428571428,-0.40375,0.02857142857142858
all_matched_events,wellness_report_present,14,68,13,-0.10642333856619571,-0.3456207482993197,0.07583398744113017
exclude_top_five_players,wellness_report_present,14,13,8,-0.1488095238095238,-0.49419642857142854,0.1340773809523808
exclude_top_player,wellness_report_present,14,44,12,-0.11033163265306123,-0.3489034155328798,0.09102005385487522
isolated_onsets,wellness_report_present,14,15,10,-0.12857142857142856,-0.40035714285714286,0.09285714285714286
all_matched_events,wellness_report_present,28,68,13,-0.1660616169544741,-0.39226476648351644,0.0006896749084248998
exclude_top_five_players,wellness_report_present,28,13,8,-0.21651785714285715,-0.5398995535714285,0.05825892857142837
exclude_top_player,wellness_report_present,28,44,12,-0.17258361678004536,-0.4032862103174603,0.025372023809523747
isolated_onsets,wellness_report_present,28,15,10,-0.16964285714285712,-0.4369196428571428,0.039285714285714285
