reference_type,feature,window_days,matched_event_count,player_count,event_weighted_mean_difference,median_difference,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
reporting_reference,wellness_metric_count,3,68,13,0.06372549019607843,0.0,0.18162393162393162,-0.14439102564102566,0.5749999999999998
reporting_reference,wellness_metric_count,7,68,13,0.03781512605042018,0.0,0.03689167974882261,-0.04574175824175822,0.15249215070643632
reporting_reference,wellness_metric_count,14,68,13,0.35504201680672265,0.0,0.14924559567416706,-0.03225242019884881,0.3453672815279958
reporting_reference,wellness_metric_count,28,68,13,0.01943277310924371,0.0,-0.34383721437292863,-0.7112956240188384,0.009825925562532489
calendar_reference,wellness_report_present,3,68,13,-0.05392156862745098,0.0,-0.08750508750508751,-0.3368767806267806,0.10040445665445652
calendar_reference,wellness_report_present,7,68,13,-0.06302521008403361,0.0,-0.12380080237223093,-0.3531135531135531,0.049755799755799766
calendar_reference,wellness_report_present,14,68,13,-0.05777310924369748,0.0,-0.10642333856619571,-0.3456207482993197,0.07583398744113017
calendar_reference,wellness_report_present,28,68,13,-0.09243697478991596,0.0,-0.1660616169544741,-0.39226476648351644,0.0006896749084248998
reporting_reference,wellness_report_present,3,68,13,0.009803921568627449,0.0,0.03205128205128205,-0.01282051282051282,0.08445512820512815
reporting_reference,wellness_report_present,7,68,13,0.004201680672268907,0.0,0.007326007326007326,0.0,0.021978021978021976
reporting_reference,wellness_report_present,14,68,13,0.050420168067226885,0.0,0.022414093842665267,-0.0036809916274202032,0.04980758328972612
reporting_reference,wellness_report_present,28,68,13,0.0031512605042016816,0.0,-0.04834401709401709,-0.10113610347985348,0.002131982600732588
