team_id,month,feature,observed_count,mean,median,p95
TeamB,2021-03-01,session_srpe,713,319.84572230014027,0.0,1000.0
TeamA,2021-01-01,session_srpe,837,325.0179211469534,280.0,880.0
TeamB,2021-12-01,session_srpe,713,4.628330995792426,0.0,0.0
TeamB,2020-07-01,session_srpe,713,151.7391304347826,0.0,720.0
TeamA,2021-10-01,session_srpe,837,256.6547192353644,160.0,900.0
TeamB,2020-02-01,session_srpe,667,192.86356821589206,0.0,1020.0
TeamB,2021-10-01,session_srpe,713,177.15287517531556,0.0,810.0
TeamA,2020-01-01,session_srpe,837,1.146953405017921,0.0,0.0
TeamB,2021-11-01,session_srpe,690,50.028985507246375,0.0,490.0
TeamA,2020-02-01,session_srpe,783,0.0,0.0,0.0
TeamA,2021-04-01,session_srpe,810,282.30864197530866,240.0,810.0
TeamB,2021-02-01,session_srpe,644,206.04037267080744,0.0,850.0
TeamA,2021-08-01,session_srpe,837,289.7968936678614,240.0,890.0
TeamA,2021-05-01,session_srpe,837,265.4241338112306,160.0,840.0
TeamB,2020-05-01,session_srpe,713,124.01122019635343,0.0,700.0
TeamB,2020-01-01,session_srpe,713,85.8625525946704,0.0,720.0
TeamA,2020-07-01,session_srpe,837,246.9772998805257,120.0,810.0
TeamB,2020-11-01,session_srpe,690,123.04347826086956,0.0,720.0
TeamA,2021-12-01,session_srpe,837,178.65591397849462,0.0,720.0
TeamA,2020-04-01,session_srpe,810,168.09876543209876,0.0,720.0
TeamA,2021-06-01,session_srpe,810,238.7037037037037,95.0,880.0
TeamA,2021-09-01,session_srpe,810,301.320987654321,210.0,930.0
TeamB,2021-07-01,session_srpe,713,88.24684431977559,0.0,630.0
TeamB,2020-03-01,session_srpe,713,168.86395511921458,0.0,720.0
TeamB,2021-05-01,session_srpe,713,182.81907433380084,0.0,810.0
TeamB,2021-04-01,session_srpe,690,183.28985507246378,0.0,840.0
TeamA,2020-03-01,session_srpe,837,82.53285543608125,0.0,630.0
TeamB,2020-06-01,session_srpe,690,145.6086956521739,0.0,720.0
TeamB,2020-12-01,session_srpe,713,40.72931276297335,0.0,420.0
TeamB,2021-08-01,session_srpe,713,207.46844319775596,0.0,810.0
TeamB,2020-08-01,session_srpe,713,131.10799438990182,0.0,700.0
TeamA,2021-03-01,session_srpe,837,375.85424133811233,360.0,920.0
TeamA,2021-02-01,session_srpe,756,370.7804232804233,350.0,990.0
TeamB,2021-09-01,session_srpe,690,193.05797101449275,0.0,810.0
TeamB,2020-04-01,session_srpe,690,154.46376811594203,0.0,640.0
